month,sales
0,1.0859414060119097
1,0.6450987838311206
2,0.44724787660778154
3,0.597361682744676
4,0.1347089468978763
5,0.004543734943611578
6,0.3150161008303209
7,0.1793166635340899
8,0.10266180742427235
9,0.4406415389037142
10,0.7617382719775108
11,0.9255205513562664
12,1.0467405313801352
13,0.35658666745800727
14,0.0662467875612
15,0.266411490045204
16,0.031019489415014173
17,0.1307878797717801
18,-0.07359964272516842
19,-0.15582926239595957
20,0.4651250799087181
21,0.3408348518801171
22,0.8723943493204861
23,0.7802460156184271
24,0.9320571995562237
25,0.72863435241782
26,0.20065350060450504
27,0.4639124604020304
28,0.14416671459953587
29,0.07510348381103622
30,0.026988031040477478
31,0.44885084725822244
32,0.2615203759190061
33,0.24465854863203662
34,1.03585224631322
35,0.8474613789108746
36,1.0938887282740142
37,0.41915983105729643
38,0.22177283895106087
39,0.48594818100026405
40,0.42918497099699243
41,0.21536525018417327
42,0.17233969070650323
43,0.1466775608878259
44,0.07458117279275828
45,0.3616955014966423
46,0.8674242662297447
47,1.2819564190939827
48,1.1652572984793448
49,0.5096068406389493
50,0.5682082474757683
51,0.4537552899375184
52,0.2601422694008544
53,0.36588333670947826
54,0.44410847163332623
55,0.43419375959297135
56,0.25954999653421096
57,0.5053545883687629
58,1.0662677416438333
59,1.3299149667334185
60,1.088420048283458
61,0.8491760745142358
62,0.40479906003589206
63,0.39680628034475784
64,0.5990319519524543
65,0.5821582830543919
66,0.34746127882598904
67,0.5385058820710886
68,0.554061437203551
69,0.5362592135670616
70,1.150016085102102
71,1.5018478453571287
72,1.2413008199065132
73,1.2324375182288096
74,0.24139907906675856
75,0.8349367720521407
76,0.575401561009343
77,0.40440761577051776
78,0.4801014627940693
79,0.1359748167447976
80,0.5595919678953248
81,0.8087100308024079
82,1.4327516305755634
83,1.2429648664068795
84,1.2018301956008168
85,0.9810561981548844
86,0.9502768345108525
87,0.8601680722842902
88,0.5841700641931158
89,0.6599868936002294
90,0.5996480317695425
91,0.7583234186297821
92,0.5958338907212952
93,0.8083374270363569
94,1.221986409162767
95,1.1872397262609022
96,1.49576617306466
97,1.224739324378966
98,0.9173588502392805
99,0.8873880873868354
100,0.5610740993644265
101,0.6324743775799635
102,0.6572785956460256
103,0.5908037796457554
104,0.8198122861967683
105,1.0626409408152004
106,1.7305355312098734
107,1.5848569790400941
108,1.6095274197203495
109,1.2957090064054582
110,0.7259633713866559
111,1.059574011297186
112,0.9531235666075353
113,1.2676569015553545
114,0.8288953324030575
115,0.9256449371134918
116,0.9870864161598893
117,0.9389680570458743
118,1.7394067881422222
119,1.8162218737185223
120,1.8346019480638716
121,1.2956754800914476
122,1.4400338113094246
123,0.976311678451138
124,1.1974943577403852
125,1.3797827949900765
126,0.8528325014154144
127,0.9388650068850778
128,1.1693007798342738
129,1.2094278254638888
130,1.4306610488883957
131,1.8472347673566003
132,1.667880380259268
133,1.6864922250659937
134,1.2083059907558746
135,1.6422973697985994
136,1.1329742093964792
137,1.1246413507097313
138,1.332627869455552
139,1.000114116578039
140,1.3639244337919896
141,1.6881983504310423
142,1.5839528559557547
143,2.0280224510613776
144,2.0548589672292734
145,1.9083073450878527
146,1.3309265867471785
147,1.332055971719436
148,1.5367178730755693
149,1.415261492589234
150,1.4234082252481894
151,1.4558633204294702
152,1.395979344022755
153,1.6899284214067372
154,2.0837032746629998
155,2.0500192066598064
156,2.503827635954921
157,2.0389731000306206
158,1.5287432928220908
159,1.8593215223806163
160,1.4775219475736374
161,1.6972655447925469
162,1.7775773748999202
163,1.4583468060385998
164,1.8750234751437516
165,1.918480942556513
166,2.3638926361697665
167,2.6824056649543797
168,2.3345563213595693
169,2.0268209901927485
170,1.7834665972178643
171,1.8135481186309348
172,1.8386176596371873
173,1.8333577989730463
174,1.8406513991412494
175,1.9525781928267478
176,1.9263721468339676
177,2.306579499284542
178,2.3829186433829244
179,3.024438465754761
180,2.685820639191082
181,2.219187224369079
182,1.969319952713248
183,2.252045268718593
184,2.0354281371173935
185,2.121765556183567
186,2.1001773186403097
187,2.0267779027319635
188,2.0062731514460883
189,2.026338855480027
190,2.56917823382557
191,2.92312281073238
192,2.8324961114576817
193,2.3763923294365097
194,2.4106745859174024
195,2.466484702886624
196,2.1579453352445785
197,2.264573935548088
198,2.268759465451066
199,2.0850721615721945
